Area, AMOEBA, Value
399, 2, 37
400, -38, 9
401, -38, 4
402, -38, 4
403, 2, 70
404, 2, 46
405, 0, 24
406, -19, 0
407, -19, 1
408, -19, 2
409, -19, 1
410, -19, 3
411, -19, 9
412, -19, 8
413, 1, 45
414, -19, 0
415, -19, 0
416, -19, 0
417, -1, 4
418, 0, 25
419, -38, 2
420, -38, 10
421, -38, 4
422, -38, 5
423, -38, 1
424, -38, 0
425, 2, 40
426, 2, 62
427, 0, 10
428, -19, 0
429, 0, 18
430, -38, 3
431, -38, 9
432, 2, 103
433, 0, 31
434, 0, 28
435, 0, 12
436, 0, 2
437, 0, 21
438, 0, 30
439, -1, 0
440, -1, 0
441, -19, 7
442, -19, 8
443, 0, 22
444, -13, 3
445, -19, 0
446, -1, 0
447, -19, 0
448, -19, 0
449, 5, 85
450, 5, 77
451, 0, 15
452, 0, 13
453, 0, 31
454, 0, 25
455, 0, 43
456, 8, 44
457, -1, 14
458, 0, 17
459, 0, 19
460, 5, 45
461, 0, 17
462, 0, 33
463, 0, 20
464, 0, 6
465, 0, 17
466, 0, 20
467, 0, 13
468, 0, 3
469, 0, 4
470, -19, 10
471, 0, 58
472, 0, 33
473, 0, 26
474, 2, 78
475, 2, 44
476, 0, 26
477, 0, 27
478, 0, 33
479, 34, 37
480, 1, 41
481, 1, 89
482, 0, 28
483, 1, 78
484, 0, 34
485, 0, 18
486, 1, 49
487, -19, 2
488, 0, 31
489, 0, 18
490, 0, 25
491, -19, 10
492, 2, 49
493, 0, 13
494, 0, 20
495, 0, 34
496, 0, 7
497, 0, 41
498, 5, 51
499, -1, 1
500, 0, 3
501, 0, 9
502, 0, 6
503, 0, 5
504, 0, 21
505, 0, 31
506, 1, 42
507, 0, 11
508, 0, 31
509, 0, 1
510, 0, 25
511, -19, 8
512, -19, 1
513, -19, 3
514, -19, 3
515, -19, 2
516, -1, 13
517, -1, 3
518, -1, 1
519, -1, 0
520, -1, 0
521, -1, 1
522, -1, 3
523, 0, 30
524, 0, 35
525, 0, 11
526, 0, 14
527, 34, 36
528, -1, 14
529, 0, 35
530, 0, 23
531, 0, 28
532, 0, 13
533, 0, 27
534, -1, 7
535, -1, 2
536, -1, 10
537, -1, 5
538, 0, 38
539, -38, 3
540, -1, 2
541, -1, 1
542, -1, 3
543, -1, 1
544, -1, 5
545, -1, 0
546, 0, 30
547, -1, 1
548, -1, 2
549, -24, 0
550, -1, 0
551, -1, 3
552, -1, 1
553, -1, 3
554, -1, 1
555, -1, 3
556, -6, 3
557, -1, 0
558, 2, 52
559, -1, 1
560, -1, 6
561, -1, 1
562, -1, 3
563, -1, 2
564, -1, 0
565, -1, 2
566, -1, 11
567, 0, 24
568, -1, 1
569, -1, 0
570, -1, 0
571, 0, 27
572, -1, 0
573, 0, 22
574, -19, 0
575, 0, 39
576, 0, 34
577, -1, 0
578, -1, 0
579, -1, 4
580, -1, 6
581, -1, 2
582, -1, 11
583, -1, 9
584, -1, 2
585, -1, 3
586, -1, 2
587, -1, 1
588, -1, 1
589, -1, 0
590, -1, 2
591, 0, 19
592, 0, 29
593, 5, 72
594, 5, 78
595, 5, 92
596, 5, 128
597, -1, 1
598, -1, 0
599, -1, 1
600, -1, 0
601, -1, 0
602, -1, 0
603, -1, 4
604, -1, 3
605, -1, 5
606, -1, 11
607, -1, 1
608, -1, 1
609, -1, 2
610, 5, 61
611, 5, 68
612, 0, 24
613, 5, 119
614, 5, 59
615, 5, 56
616, -1, 3
617, -1, 7
618, -1, 7
619, 0, 16
620, 0, 41
621, 0, 42
622, 1, 77
623, -1, 0
624, -19, 0
625, 0, 0
626, -38, 3
627, -1, 10
628, -1, 9
629, -1, 7
630, -1, 10
631, -1, 1
632, -1, 6
633, -1, 5
634, -1, 4
635, -1, 6
636, -1, 5
637, -1, 4
638, -1, 9
639, -1, 4
640, 0, 6
641, -1, 0
642, 0, 34
643, 0, 8
644, 0, 8
645, 0, 27
646, -1, 0
647, 0, 21
648, 0, 21
649, -1, 14
650, 0, 44
651, -1, 6
652, -1, 4
653, -1, 1
654, -1, 6
655, -1, 2
656, 0, 18
657, -1, 2
658, 0, 25
659, -19, 0
660, -19, 0
661, -24, 5
662, -19, 0
663, -19, 0
664, 0, 7
665, -19, 0
666, 0, 9
667, 0, 37
668, -1, 3
669, -1, 3
670, -1, 2
671, -19, 0
672, 5, 49
673, -1, 1
674, -1, 1
675, -1, 3
676, 0, 8
677, 0, 29
678, 0, 16
679, -1, 0
680, 0, 31
681, 0, 27
682, -1, 1
683, -1, 1
684, -1, 2
685, -1, 4
686, -1, 4
687, -1, 2
688, -1, 0
689, -24, 0
690, 0, 31
691, 0, 2
692, -1, 0
693, -1, 3
694, -1, 1
695, -1, 2
696, -1, 1
697, 0, 25
698, -1, 1
699, -1, 0
700, -1, 0
701, -1, 0
702, -1, 1
703, -1, 10
704, -1, 0
705, -1, 6
706, -1, 2
707, -1, 2
708, -1, 0
709, -1, 1
710, -1, 0
711, -1, 6
712, -1, 9
713, -1, 5
714, -1, 4
715, -1, 7
716, -1, 1
717, -1, 4
718, -1, 0
719, -1, 0
720, -1, 0
721, -1, 3
722, -1, 1
723, -1, 2
724, -1, 0
725, -1, 3
726, -1, 4
727, -1, 2
728, -1, 15
729, 5, 129
730, 0, 27
731, -1, 1
732, -1, 1
733, -1, 1
734, -1, 1
735, -1, 4
736, 5, 131
737, -1, 0
738, -1, 0
739, -1, 2
740, -1, 0
741, -1, 4
742, -1, 0
743, -1, 5
744, -1, 3
745, -1, 2
746, -1, 1
747, -1, 1
748, -1, 1
749, -1, 2
750, -1, 1
751, -1, 3
752, 0, 25
753, 0, 20
754, 0, 33
755, 0, 8
756, 0, 14
757, -1, 2
758, 0, 12
759, 0, 14
760, 0, 23
761, -19, 2
762, -1, 6
763, -1, 3
764, -1, 12
765, -19, 8
766, 0, 11
767, 0, 21
768, 0, 11
769, -19, 7
770, 2, 74
771, 0, 28
772, 2, 63
773, 2, 66
774, 0, 17
775, -6, 9
776, 0, 19
777, 0, 11
778, 0, 14
779, 0, 13
780, 0, 20
781, 2, 54
782, 2, 47
783, 2, 44
784, 0, 33
785, 2, 51
786, 2, 53
787, 0, 27
788, -19, 8
789, 0, 10
790, 0, 5
791, 0, 14
792, -6, 3
793, 0, 18
794, 0, 20
795, 2, 36
796, 2, 53
797, 2, 53
798, 2, 38
799, 0, 23
800, 0, 15
801, 2, 69
802, 2, 67
803, 2, 58
804, 0, 27
805, 2, 50
806, -6, 0
807, -6, 2
808, 2, 39
809, 2, 47
810, 0, 18
811, -1, 0
812, -1, 9
813, -1, 6
814, -1, 2
815, -1, 0
816, -1, 1
817, -1, 1
818, -1, 3
819, 1, 61
820, -19, 6
821, -1, 0
822, -1, 3
823, -1, 0
824, -19, 0
825, -1, 4
826, -1, 0
827, -13, 1
828, -19, 0
829, -19, 0
830, -19, 0
831, -1, 7
832, -1, 3
833, -1, 1
834, -24, 0
835, 0, 34
836, -6, 0
837, 0, 28
838, -1, 0
839, -1, 7
840, -19, 6
841, 2, 40
842, 0, 15
843, -1, 4
844, -1, 0
