Area, AMOEBA, Value
319, 0, 35.6
320, 0, 37.4
321, 258, 38.1
322, -1, 25.4
323, -1, 34.0
324, -1, 23.5
325, -1, 21.4
326, -1, 24.8
327, -2, 30.3
328, -2, 31.2
329, -2, 21.1
330, -2, 24.4
331, 0, 35.9
332, -122, 31.6
333, 1, 41.1
334, -122, 30.9
335, -122, 32.4
336, -44, 34.1
337, 0, 36.6
338, 258, 38.3
339, -44, 33.9
340, -44, 31.3
341, 0, 36.0
342, 1, 43.1
343, 0, 34.1
344, 258, 38.5
345, 0, 35.5
346, 1, 44.7
347, 258, 38.3
348, 1, 45.1
349, -1, 30.3
350, -1, 32.5
351, -1, 28.9
352, 0, 38.4
353, -1, 33.2
354, -1, 31.8
355, 258, 39.2
356, -7, 30.4
357, 0, 34.6
358, -7, 33.9
359, -7, 29.5
360, -7, 32.4
361, 0, 27.9
362, 258, 38.5
363, 1, 46.0
364, -122, 33.9
365, 258, 41.3
366, 0, 37.5
367, 1, 41.1
368, 258, 38.2
369, 0, 36.1
370, -44, 33.4
371, 258, 38.7
372, 258, 39.8
373, 258, 39.0
374, 1, 40.9
375, 0, 35.2
376, 0, 35.9
377, 0, 37.3
378, 0, 34.5
379, -11, 33.1
380, 1, 42.9
381, 0, 37.2
382, -85, 32.7
383, -85, 34.4
384, 0, 38.9
385, -11, 32.8
386, 1, 42.8
387, 0, 37.6
388, 0, 37.4
389, -148, 31.9
390, 0, 36.4
391, 0, 36.5
392, 258, 38.1
393, 1, 40.3
394, 258, 39.4
395, 258, 39.2
396, 258, 38.5
397, 0, 37.5
398, 0, 34.6
399, 1, 39.7
400, 1, 42.6
401, 1, 40.3
402, 1, 47.7
403, 1, 41.2
404, 1, 40.9
405, 1, 48.5
406, 0, 37.3
407, 1, 44.2
408, 1, 46.3
409, 1, 44.1
410, 1, 42.3
411, 258, 38.1
412, 1, 42.0
413, 1, 44.4
414, 1, 51.3
415, 258, 39.5
416, 1, 41.0
417, 1, 40.3
418, -7, 33.5
419, 1, 40.3
420, 1, 44.4
421, 0, 37.3
422, 0, 35.2
423, 0, 43.6
424, -22, 31.2
425, 0, 32.7
426, 0, 38.9
427, 0, 28.6
428, -7, 22.1
429, 0, 37.3
430, 0, 35.9
431, 0, 34.8
432, 92, 41.1
433, 0, 36.7
434, 258, 38.3
435, 258, 38.8
436, 258, 42.2
437, 258, 37.9
438, 1, 43.6
439, 1, 44.6
440, 1, 44.1
441, 1, 41.8
442, 1, 51.2
443, 1, 47.0
444, 1, 50.1
445, 1, 41.7
446, 1, 40.7
447, 0, 33.4
448, 92, 40.7
449, 1, 41.2
450, 0, 35.1
451, 0, 41.4
452, -11, 32.7
453, 0, 39.4
454, 0, 41.4
455, 0, 40.6
456, 0, 35.7
457, 92, 40.2
458, -1, 33.4
459, -7, 31.7
460, -7, 32.9
461, -7, 31.7
462, -7, 26.9
463, -7, 32.8
464, 0, 38.1
465, -2, 29.0
466, -7, 29.8
467, -7, 26.9
468, 0, 34.8
469, 0, 36.7
470, 1, 41.3
471, 1, 43.7
472, 0, 37.1
473, 258, 39.2
474, 1, 42.5
475, 1, 42.7
476, 1, 43.9
477, 258, 39.2
478, 1, 43.9
479, 1, 46.8
480, 1, 43.4
481, 1, 39.9
482, 1, 41.1
483, 1, 41.9
484, -11, 32.8
485, -11, 31.2
486, 1, 39.7
487, 1, 43.0
488, 1, 41.7
489, 0, 36.1
490, 92, 41.0
491, 92, 41.5
492, 92, 42.0
493, 92, 41.1
494, 0, 35.3
495, 92, 41.5
496, 0, 35.2
497, 0, 34.4
498, 1, 42.2
499, 258, 38.0
500, 258, 38.7
501, 1, 41.1
502, 0, 36.4
503, 258, 39.5
504, 1, 41.4
505, 1, 42.8
506, 1, 40.7
507, 1, 40.6
508, 258, 38.8
509, 1, 39.9
510, 1, 40.2
511, 258, 38.4
512, 1, 41.5
513, 258, 38.2
514, 1, 44.8
515, 1, 39.7
516, 1, 42.2
517, 1, 39.9
518, 1, 46.3
519, 1, 44.7
520, 1, 45.1
521, 1, 43.4
522, 1, 46.4
523, 258, 38.8
524, 1, 44.7
525, 258, 39.1
526, 0, 35.8
527, 258, 38.9
528, 1, 40.9
529, -22, 33.1
530, 258, 41.7
531, 258, 38.8
532, 258, 40.6
533, 44, 43.9
534, -22, 27.0
535, 0, 25.9
536, 0, 31.4
537, -1, 32.6
538, 0, 37.7
539, 0, 35.8
540, -11, 31.2
541, 0, 36.1
542, 1, 45.6
543, 1, 41.1
544, 1, 40.8
545, 0, 37.1
546, 258, 38.1
547, 1, 41.7
548, 0, 35.8
549, 1, 41.1
550, 258, 39.1
551, 0, 36.5
552, 0, 38.0
553, -234, 31.6
554, 0, 35.5
555, 1, 40.8
556, 1, 42.5
557, 1, 40.4
558, 1, 41.5
559, 1, 40.4
560, -1, 33.9
561, -1, 29.1
562, -1, 27.3
563, -1, 32.0
564, -1, 28.5
565, -1, 32.2
566, -1, 29.1
567, -2, 25.7
